1;Toy Story (1995);Adventure|Animation|Children|Comedy|Fantasy
2;Jumanji (1995);Adventure|Children|Fantasy
3;Grumpier Old Men (1995);Comedy|Romance
4;Waiting to Exhale (1995);Comedy|Drama|Romance
5;Father of the Bride Part II (1995);Comedy
6;Heat (1995);Action|Crime|Thriller
7;Sabrina (1995);Comedy|Romance
8;Tom and Huck (1995);Adventure|Children
9;Sudden Death (1995);Action
10;GoldenEye (1995);Action|Adventure|Thriller
11;American President, The (1995);Comedy|Drama|Romance
12;Dracula: Dead and Loving It (1995);Comedy|Horror
13;Balto (1995);Adventure|Animation|Children
14;Nixon (1995);Drama
15;Cutthroat Island (1995);Action|Adventure|Romance
16;Casino (1995);Crime|Drama
17;Sense and Sensibility (1995);Drama|Romance
18;Four Rooms (1995);Comedy
19;Ace Ventura: When Nature Calls (1995);Comedy
20;Money Train (1995);Action|Comedy|Crime|Drama|Thriller
21;Get Shorty (1995);Comedy|Crime|Thriller
22;Copycat (1995);Crime|Drama|Horror|Mystery|Thriller
23;Assassins (1995);Action|Crime|Thriller
24;Powder (1995);Drama|Sci-Fi
25;Leaving Las Vegas (1995);Drama|Romance
26;Othello (1995);Drama
27;Now and Then (1995);Children|Drama
28;Persuasion (1995);Drama|Romance
29;City of Lost Children, The (Cité des enfants perdus, La) (1995);Adventure|Drama|Fantasy|Mystery|Sci-Fi
30;Shanghai Triad (Yao a yao yao dao waipo qiao) (1995);Crime|Drama
31;Dangerous Minds (1995);Drama
32;Twelve Monkeys (a.k.a. 12 Monkeys) (1995);Mystery|Sci-Fi|Thriller
34;Babe (1995);Children|Drama
36;Dead Man Walking (1995);Crime|Drama
38;It Takes Two (1995);Children|Comedy
39;Clueless (1995);Comedy|Romance
40;Cry, the Beloved Country (1995);Drama
41;Richard III (1995);Drama|War
42;Dead Presidents (1995);Action|Crime|Drama
43;Restoration (1995);Drama
44;Mortal Kombat (1995);Action|Adventure|Fantasy
45;To Die For (1995);Comedy|Drama|Thriller
46;How to Make an American Quilt (1995);Drama|Romance
47;Seven (a.k.a. Se7en) (1995);Mystery|Thriller
48;Pocahontas (1995);Animation|Children|Drama|Musical|Romance
49;When Night Is Falling (1995);Drama|Romance
50;Usual Suspects, The (1995);Crime|Mystery|Thriller
52;Mighty Aphrodite (1995);Comedy|Drama|Romance
53;Lamerica (1994);Adventure|Drama
54;Big Green, The (1995);Children|Comedy
55;Georgia (1995);Drama
57;Home for the Holidays (1995);Drama
58;Postman, The (Postino, Il) (1994);Comedy|Drama|Romance
60;Indian in the Cupboard, The (1995);Adventure|Children|Fantasy
61;Eye for an Eye (1996);Drama|Thriller
62;Mr. Holland's Opus (1995);Drama
63;Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996);Comedy|Crime
64;Two if by Sea (1996);Comedy|Romance
65;Bio-Dome (1996);Comedy
66;Lawnmower Man 2: Beyond Cyberspace (1996);Action|Sci-Fi|Thriller
68;French Twist (Gazon maudit) (1995);Comedy|Romance
69;Friday (1995);Comedy
70;From Dusk Till Dawn (1996);Action|Comedy|Horror|Thriller
71;Fair Game (1995);Action
72;Kicking and Screaming (1995);Comedy|Drama
73;Misérables, Les (1995);Drama|War
74;Bed of Roses (1996);Drama|Romance
75;Big Bully (1996);Comedy|Drama
76;Screamers (1995);Action|Sci-Fi|Thriller
77;Nico Icon (1995);Documentary
78;Crossing Guard, The (1995);Action|Crime|Drama|Thriller
79;Juror, The (1996);Drama|Thriller
80;White Balloon, The (Badkonake sefid) (1995);Children|Drama
81;Things to Do in Denver When You're Dead (1995);Crime|Drama|Romance
82;Antonia's Line (Antonia) (1995);Comedy|Drama
83;Once Upon a Time... When We Were Colored (1995);Drama|Romance
85;Angels and Insects (1995);Drama|Romance
86;White Squall (1996);Action|Adventure|Drama
87;Dunston Checks In (1996);Children|Comedy
88;Black Sheep (1996);Comedy
89;Nick of Time (1995);Action|Thriller
92;Mary Reilly (1996);Drama|Horror|Thriller
93;Vampire in Brooklyn (1995);Comedy|Horror|Romance
94;Beautiful Girls (1996);Comedy|Drama|Romance
95;Broken Arrow (1996);Action|Adventure|Thriller
96;In the Bleak Midwinter (1995);Comedy|Drama
97;Hate (Haine, La) (1995);Crime|Drama
99;Heidi Fleiss: Hollywood Madam (1995);Documentary
100;City Hall (1996);Drama|Thriller
101;Bottle Rocket (1996);Adventure|Comedy|Crime|Romance
102;Mr. Wrong (1996);Comedy
103;Unforgettable (1996);Mystery|Sci-Fi|Thriller
104;Happy Gilmore (1996);Comedy
105;Bridges of Madison County, The (1995);Drama|Romance
106;Nobody Loves Me (Keiner liebt mich) (1994);Comedy|Drama
107;Muppet Treasure Island (1996);Adventure|Children|Comedy|Musical
108;Catwalk (1996);Documentary
110;Braveheart (1995);Action|Drama|War
111;Taxi Driver (1976);Crime|Drama|Thriller
112;Rumble in the Bronx (Hont faan kui) (1995);Action|Adventure|Comedy|Crime
113;Before and After (1996);Drama|Mystery
116;Anne Frank Remembered (1995);Documentary
117;Young Poisoner's Handbook, The (1995);Crime|Drama
118;If Lucy Fell (1996);Comedy|Romance
119;Steal Big, Steal Little (1995);Comedy
121;Boys of St. Vincent, The (1992);Drama
122;Boomerang (1992);Comedy|Romance
123;Chungking Express (Chung Hing sam lam) (1994);Drama|Mystery|Romance
125;Flirting With Disaster (1996);Comedy
126;NeverEnding Story III, The (1994);Adventure|Children|Fantasy
128;Jupiter's Wife (1994);Documentary
129;Pie in the Sky (1996);Comedy|Romance
132;Jade (1995);Thriller
135;Down Periscope (1996);Comedy
137;Man of the Year (1995);Documentary
140;Up Close and Personal (1996);Drama|Romance
141;Birdcage, The (1996);Comedy
144;Brothers McMullen, The (1995);Comedy
145;Bad Boys (1995);Action|Comedy|Crime|Drama|Thriller
146;Amazing Panda Adventure, The (1995);Adventure|Children
147;Basketball Diaries, The (1995);Drama
148;Awfully Big Adventure, An (1995);Drama
149;Amateur (1994);Crime|Drama|Thriller
150;Apollo 13 (1995);Adventure|Drama|IMAX
151;Rob Roy (1995);Action|Drama|Romance|War
152;Addiction, The (1995);Drama|Horror
153;Batman Forever (1995);Action|Adventure|Comedy|Crime
154;Beauty of the Day (Belle de jour) (1967);Drama
155;Beyond Rangoon (1995);Adventure|Drama|War
156;Blue in the Face (1995);Comedy|Drama
157;Canadian Bacon (1995);Comedy|War
158;Casper (1995);Adventure|Children
159;Clockers (1995);Crime|Drama|Mystery
160;Congo (1995);Action|Adventure|Mystery|Sci-Fi
161;Crimson Tide (1995);Drama|Thriller|War
162;Crumb (1994);Documentary
163;Desperado (1995);Action|Romance|Western
164;Devil in a Blue Dress (1995);Crime|Film-Noir|Mystery|Thriller
165;Die Hard: With a Vengeance (1995);Action|Crime|Thriller
166;Doom Generation, The (1995);Comedy|Crime|Drama
168;First Knight (1995);Action|Drama|Romance
169;Free Willy 2: The Adventure Home (1995);Adventure|Children|Drama
170;Hackers (1995);Action|Adventure|Crime|Thriller
171;Jeffrey (1995);Comedy|Drama
172;Johnny Mnemonic (1995);Action|Sci-Fi|Thriller
173;Judge Dredd (1995);Action|Crime|Sci-Fi
174;Jury Duty (1995);Comedy
175;Kids (1995);Drama
176;Living in Oblivion (1995);Comedy
177;Lord of Illusions (1995);Horror
178;Love & Human Remains (1993);Comedy|Drama
179;Mad Love (1995);Drama|Romance
180;Mallrats (1995);Comedy|Romance
181;Mighty Morphin Power Rangers: The Movie (1995);Action|Children
183;Mute Witness (1994);Comedy|Horror|Thriller
184;Nadja (1994);Drama
185;Net, The (1995);Action|Crime|Thriller
186;Nine Months (1995);Comedy|Romance
187;Party Girl (1995);Comedy
188;Prophecy, The (1995);Fantasy|Horror|Mystery
189;Reckless (1995);Comedy|Fantasy
190;Safe (1995);Thriller
191;Scarlet Letter, The (1995);Drama|Romance
193;Showgirls (1995);Drama
194;Smoke (1995);Comedy|Drama
195;Something to Talk About (1995);Comedy|Drama|Romance
196;Species (1995);Horror|Sci-Fi
198;Strange Days (1995);Action|Crime|Drama|Mystery|Sci-Fi|Thriller
199;Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964);Drama|Musical|Romance
201;Three Wishes (1995);Drama|Fantasy
202;Total Eclipse (1995);Drama|Romance
203;To Wong Foo, Thanks for Everything! Julie Newmar (1995);Comedy
204;Under Siege 2: Dark Territory (1995);Action
205;Unstrung Heroes (1995);Comedy|Drama
206;Unzipped (1995);Documentary
207;Walk in the Clouds, A (1995);Drama|Romance
208;Waterworld (1995);Action|Adventure|Sci-Fi
209;White Man's Burden (1995);Drama
210;Wild Bill (1995);Western
211;Browning Version, The (1994);Drama
212;Bushwhacked (1995);Adventure|Comedy|Crime|Mystery
213;Burnt by the Sun (Utomlyonnye solntsem) (1994);Drama
214;Before the Rain (Pred dozhdot) (1994);Drama|War
215;Before Sunrise (1995);Drama|Romance
216;Billy Madison (1995);Comedy
217;Babysitter, The (1995);Drama|Thriller
218;Boys on the Side (1995);Comedy|Drama
219;Cure, The (1995);Drama
220;Castle Freak (1995);Horror
222;Circle of Friends (1995);Drama|Romance
223;Clerks (1994);Comedy
224;Don Juan DeMarco (1995);Comedy|Drama|Romance
225;Disclosure (1994);Drama|Thriller
227;Drop Zone (1994);Action|Thriller
228;Destiny Turns on the Radio (1995);Comedy
229;Death and the Maiden (1994);Drama|Thriller
230;Dolores Claiborne (1995);Drama|Thriller
231;Dumb & Dumber (Dumb and Dumber) (1994);Adventure|Comedy
232;Eat Drink Man Woman (Yin shi nan nu) (1994);Comedy|Drama|Romance
233;Exotica (1994);Drama
234;Exit to Eden (1994);Comedy
235;Ed Wood (1994);Comedy|Drama
236;French Kiss (1995);Action|Comedy|Romance
237;Forget Paris (1995);Comedy|Romance
238;Far From Home: The Adventures of Yellow Dog (1995);Adventure|Children
239;Goofy Movie, A (1995);Animation|Children|Comedy|Romance
240;Hideaway (1995);Thriller
241;Fluke (1995);Children|Drama
242;Farinelli: il castrato (1994);Drama|Musical
243;Gordy (1995);Children|Comedy|Fantasy
246;Hoop Dreams (1994);Documentary
247;Heavenly Creatures (1994);Crime|Drama
248;Houseguest (1994);Comedy
249;Immortal Beloved (1994);Drama|Romance
250;Heavyweights (Heavy Weights) (1995);Children|Comedy
251;Hunted, The (1995);Action
252;I.Q. (1994);Comedy|Romance
253;Interview with the Vampire: The Vampire Chronicles (1994);Drama|Horror
254;Jefferson in Paris (1995);Drama
255;Jerky Boys, The (1995);Comedy
256;Junior (1994);Comedy|Sci-Fi
257;Just Cause (1995);Mystery|Thriller
258;Kid in King Arthur's Court, A (1995);Adventure|Children|Comedy|Fantasy|Romance
259;Kiss of Death (1995);Crime|Drama|Thriller
260;Star Wars: Episode IV - A New Hope (1977);Action|Adventure|Sci-Fi
261;Little Women (1994);Drama
262;Little Princess, A (1995);Children|Drama
263;Ladybird Ladybird (1994);Drama
265;Like Water for Chocolate (Como agua para chocolate) (1992);Drama|Fantasy|Romance
266;Legends of the Fall (1994);Drama|Romance|War|Western
267;Major Payne (1995);Comedy
269;My Crazy Life (Mi vida loca) (1993);Drama
270;Love Affair (1994);Drama|Romance
271;Losing Isaiah (1995);Drama
272;Madness of King George, The (1994);Comedy|Drama
273;Mary Shelley's Frankenstein (Frankenstein) (1994);Drama|Horror|Sci-Fi
274;Man of the House (1995);Comedy
275;Mixed Nuts (1994);Comedy
276;Milk Money (1994);Comedy|Romance
277;Miracle on 34th Street (1994);Drama
278;Miami Rhapsody (1995);Comedy
279;My Family (1995);Drama
280;Murder in the First (1995);Drama|Thriller
281;Nobody's Fool (1994);Comedy|Drama|Romance
282;Nell (1994);Drama
283;New Jersey Drive (1995);Crime|Drama
284;New York Cop (Nyû Yôku no koppu) (1993);Action|Crime
285;Beyond Bedlam (1993);Drama|Horror
287;Nina Takes a Lover (1994);Comedy|Romance
288;Natural Born Killers (1994);Action|Crime|Thriller
289;Only You (1994);Comedy|Romance
290;Once Were Warriors (1994);Crime|Drama
291;Poison Ivy II (1996);Drama|Thriller
292;Outbreak (1995);Action|Drama|Sci-Fi|Thriller
293;Léon: The Professional (a.k.a. The Professional) (Léon) (1994);Action|Crime|Drama|Thriller
294;Perez Family, The (1995);Comedy|Romance
295;Pyromaniac's Love Story, A (1995);Comedy|Romance
296;Pulp Fiction (1994);Comedy|Crime|Drama|Thriller
298;Pushing Hands (Tui shou) (1992);Drama
299;Priest (1994);Drama
300;Quiz Show (1994);Drama
301;Picture Bride (Bijo photo) (1994);Drama|Romance
302;Queen Margot (Reine Margot, La) (1994);Drama|Romance
303;Quick and the Dead, The (1995);Action|Thriller|Western
304;Roommates (1995);Comedy|Drama
305;Ready to Wear (Pret-A-Porter) (1994);Comedy
306;Three Colors: Red (Trois couleurs: Rouge) (1994);Drama
307;Three Colors: Blue (Trois couleurs: Bleu) (1993);Drama
308;Three Colors: White (Trzy kolory: Bialy) (1994);Comedy|Drama
310;Rent-a-Kid (1995);Comedy
311;Relative Fear (1994);Horror|Thriller
312;Stuart Saves His Family (1995);Comedy
313;Swan Princess, The (1994);Animation|Children
314;Secret of Roan Inish, The (1994);Children|Drama|Fantasy|Mystery
315;Specialist, The (1994);Action|Drama|Thriller
316;Stargate (1994);Action|Adventure|Sci-Fi
317;Santa Clause, The (1994);Comedy|Drama|Fantasy
318;Shawshank Redemption, The (1994);Crime|Drama
319;Shallow Grave (1994);Comedy|Drama|Thriller
320;Suture (1993);Film-Noir|Thriller
321;Strawberry and Chocolate (Fresa y chocolate) (1993);Drama
322;Swimming with Sharks (1995);Comedy|Drama
324;Sum of Us, The (1994);Comedy|Drama
325;National Lampoon's Senior Trip (1995);Comedy
326;To Live (Huozhe) (1994);Drama
327;Tank Girl (1995);Action|Comedy|Sci-Fi
328;Tales from the Crypt Presents: Demon Knight (1995);Horror|Thriller
